"Status Code","Response Reference","Category","Usage Count","Endpoints Used"
"400","../../components/responses/progress/ProgressValidationFailed.yaml","progress","3","POST progress_check-in; GET progress_check-ins_checkInId; POST progress_metrics"
"400","../../components/responses/workoutLogs/WorkoutLogValidationFailed.yaml","workoutLogs","3","GET workouts_log; POST workouts_log; PATCH workouts_log_logId"
"400","../../components/responses/workouts/WorkoutValidationFailed.yaml","workouts","2","POST workouts; POST workouts_planId"
"401","../../components/responses/analytics/AnalyticsAuthenticationRequired.yaml","analytics","11","GET analytics_adherence; GET analytics_ai_comprehensive; GET analytics_ai_insights; GET analytics_ai_patterns; GET analytics_ai_predictions_goalType; GET analytics_ai_recommendations; GET analytics_daterange; GET analytics_overview; POST analytics_refresh; GET analytics_strength; GET analytics_trends"
"401","../../components/responses/auth/Unauthorized.yaml","auth, dataTransfer, notifications","14","GET email-verification-status; POST login; POST logout; GET me; POST refresh; POST reset-password; POST update-password; GET validate-session; POST verify-email; POST data-transfer_export; POST data-transfer_import; GET notifications_preferences; POST notifications_preferences; POST notifications_test"
"401","../../components/responses/goals/GoalAuthenticationRequired.yaml","goals","6","GET goals; POST goals; GET goals_goalId; PUT goals_goalId; POST goals_goalId_predict; GET goals_goalId_progress"
"401","../../components/responses/mobile/MobileAuthenticationRequired.yaml","mobile","6","GET mobile_analytics; GET mobile_goals_goalId_progress; GET mobile_notifications_preferences; GET mobile_overview; GET mobile_peer-comparison; POST mobile_sync"
"401","../../components/responses/nutritionMacros/MacroAuthenticationRequired.yaml","nutritionMacros","5","GET macros; POST macros; POST macros_calculate; GET macros_latest; PUT macros_planId"
"401","../../components/responses/nutritionMacros/NutritionAuthenticationRequired.yaml","nutritionMacros","7","GET nutrition; POST nutrition_calculate; GET nutrition_meal-log; POST nutrition_meal-log; GET nutrition_preferences; POST nutrition_preferences; GET nutrition_userId"
"401","../../components/responses/common/Unauthorized.yaml","profiles, workouts","10","GET preferences; PUT preferences; GET profile; POST profile; PUT profile; GET workouts; POST workouts; GET workouts_planId; POST workouts_planId; DELETE workouts_planId"
"401","../../components/responses/progress/ProgressAuthenticationRequired.yaml","progress","3","POST progress_check-in; GET progress_check-ins_checkInId; POST progress_metrics"
"401","../../components/responses/workoutLogs/WorkoutLogAuthenticationRequired.yaml","workoutLogs","5","GET workouts_log; POST workouts_log; GET workouts_log_logId; PATCH workouts_log_logId; DELETE workouts_log_logId"
"403","../../components/responses/goals/GoalAccessDenied.yaml","goals","4","GET goals_goalId; PUT goals_goalId; POST goals_goalId_predict; GET goals_goalId_progress"
"403","../../components/responses/mobile/MobileGoalAccessDenied.yaml","mobile","1","GET mobile_goals_goalId_progress"
"403","../../components/responses/mobile/MobileNotificationAccessDenied.yaml","mobile","1","GET mobile_notifications_preferences"
"403","../../components/responses/mobile/MobilePeerComparisonAccessDenied.yaml","mobile","1","GET mobile_peer-comparison"
"403","../../components/responses/progress/CheckInAccessDenied.yaml","progress","1","GET progress_check-ins_checkInId"
"403","../../components/responses/workouts/WorkoutPermissionDenied.yaml","workouts","3","GET workouts_planId; POST workouts_planId; DELETE workouts_planId"
"404","../../components/responses/analytics/AnalyticsNotFound.yaml","analytics","10","GET analytics_adherence; GET analytics_ai_comprehensive; GET analytics_ai_insights; GET analytics_ai_patterns; GET analytics_ai_predictions_goalType; GET analytics_ai_recommendations; GET analytics_daterange; GET analytics_overview; GET analytics_strength; GET analytics_trends"
"404","Inline response","auth, nutritionMacros","3","GET email-verification-status; GET me; GET macros_latest"
"404","../../components/responses/goals/GoalNotFound.yaml","goals","4","GET goals_goalId; PUT goals_goalId; POST goals_goalId_predict; GET goals_goalId_progress"
"404","../../components/responses/mobile/MobileAnalyticsNotFound.yaml","mobile","1","GET mobile_analytics"
"404","../../components/responses/mobile/MobileGoalNotFound.yaml","mobile","1","GET mobile_goals_goalId_progress"
"404","../../components/responses/mobile/MobileNotificationPreferencesNotFound.yaml","mobile","1","GET mobile_notifications_preferences"
"404","../../components/responses/mobile/MobileDataNotFound.yaml","mobile","1","GET mobile_overview"
"404","../../components/responses/mobile/MobilePeerDataNotFound.yaml","mobile","1","GET mobile_peer-comparison"
"404","../../components/responses/nutritionMacros/MacroNotFound.yaml","nutritionMacros","1","PUT macros_planId"
"404","../../components/responses/nutritionMacros/NutritionNotFound.yaml","nutritionMacros","3","GET nutrition; GET nutrition_preferences; GET nutrition_userId"
"404","../../components/responses/profiles/ProfileNotFound.yaml","profiles","4","GET preferences; PUT preferences; GET profile; PUT profile"
"404","../../components/responses/progress/CheckInNotFound.yaml","progress","1","GET progress_check-ins_checkInId"
"404","../../components/responses/progress/ProgressDataNotFound.yaml","progress","1","POST progress_metrics"
"404","../../components/responses/workoutLogs/WorkoutLogNotFound.yaml","workoutLogs","3","GET workouts_log_logId; PATCH workouts_log_logId; DELETE workouts_log_logId"
"404","../../components/responses/workouts/WorkoutNotFound.yaml","workouts","3","GET workouts_planId; POST workouts_planId; DELETE workouts_planId"
"409","../../components/responses/analytics/AnalyticsRefreshInProgress.yaml","analytics","1","POST analytics_refresh"
"409","../../components/responses/auth/EmailAlreadyExists.yaml","auth","1","POST signup"
"409","../../components/responses/goals/GoalConflictDetected.yaml","goals","2","POST goals; PUT goals_goalId"
"409","../../components/responses/mobile/MobileSyncConflictDetected.yaml","mobile","1","POST mobile_sync"
"409","Inline response","nutritionMacros, profiles","2","PUT macros_planId; POST profile"
"409","../../components/responses/profiles/UnitConversionFailed.yaml","profiles","1","PUT profile"
"409","../../components/responses/progress/CheckInAlreadyExists.yaml","progress","1","POST progress_check-in"
"413","../../components/responses/mobile/MobilePayloadExceeded.yaml","mobile","5","GET mobile_analytics; GET mobile_goals_goalId_progress; GET mobile_overview; GET mobile_peer-comparison; POST mobile_sync"
"422","../../components/responses/analytics/AnalyticsInvalidGoalType.yaml","analytics","1","GET analytics_ai_predictions_goalType"
"422","../../components/responses/analytics/AnalyticsInvalidDateRange.yaml","analytics","1","GET analytics_daterange"
"422","../../components/responses/goals/GoalDataConflict.yaml","goals","1","POST goals"
"422","../../components/responses/goals/GoalUpdateConflict.yaml","goals","1","PUT goals_goalId"
"422","../../components/responses/goals/GoalPredictionFailed.yaml","goals","1","POST goals_goalId_predict"
"422","../../components/responses/mobile/MobileAnalyticsProcessingFailed.yaml","mobile","1","GET mobile_analytics"
"422","../../components/responses/mobile/MobileSyncFailed.yaml","mobile","1","POST mobile_sync"
"422","../../components/responses/nutritionMacros/MacroCalculationFailed.yaml","nutritionMacros","1","POST macros_calculate"
"422","../../components/responses/progress/CheckInDataConflict.yaml","progress","1","POST progress_check-in"
"422","../../components/responses/progress/MetricsCalculationFailed.yaml","progress","1","POST progress_metrics"
"422","../../components/responses/workouts/WorkoutAdjustmentFailed.yaml","workouts","1","POST workouts_planId"
"429","../../components/responses/analytics/AnalyticsRateLimitExceeded.yaml","analytics","11","GET analytics_adherence; GET analytics_ai_comprehensive; GET analytics_ai_insights; GET analytics_ai_patterns; GET analytics_ai_predictions_goalType; GET analytics_ai_recommendations; GET analytics_daterange; GET analytics_overview; POST analytics_refresh; GET analytics_strength; GET analytics_trends"
"429","../../components/responses/auth/AuthRateLimitExceeded.yaml","auth","4","POST login; POST password-reset; POST refresh; POST signup"
"429","../../components/responses/dataTransfer/DataTransferRateLimitExceeded.yaml","dataTransfer","2","POST data-transfer_export; POST data-transfer_import"
"429","../../components/responses/goals/GoalRateLimitExceeded.yaml","goals","6","GET goals; POST goals; GET goals_goalId; PUT goals_goalId; POST goals_goalId_predict; GET goals_goalId_progress"
"429","../../components/responses/mobile/MobileRateLimitExceeded.yaml","mobile","6","GET mobile_analytics; GET mobile_goals_goalId_progress; GET mobile_notifications_preferences; GET mobile_overview; GET mobile_peer-comparison; POST mobile_sync"
"429","../../components/responses/notifications/NotificationRateLimitExceeded.yaml","notifications","2","POST notifications_preferences; POST notifications_test"
"429","../../components/responses/nutritionMacros/MacroRateLimitExceeded.yaml","nutritionMacros","2","POST macros_calculate; GET macros_latest"
"429","../../components/responses/nutritionMacros/NutritionRateLimitExceeded.yaml","nutritionMacros","1","POST nutrition_calculate"
"429","../../components/responses/progress/ProgressRateLimitExceeded.yaml","progress","3","POST progress_check-in; GET progress_check-ins_checkInId; POST progress_metrics"
"429","../../components/responses/workoutLogs/WorkoutLogRateLimitExceeded.yaml","workoutLogs","2","POST workouts_log; PATCH workouts_log_logId"
"429","../../components/responses/workouts/WorkoutRateLimitExceeded.yaml","workouts","2","POST workouts; POST workouts_planId"
"500","../../components/responses/analytics/AnalyticsDatabaseFailed.yaml","analytics","11","GET analytics_adherence; GET analytics_ai_comprehensive; GET analytics_ai_insights; GET analytics_ai_patterns; GET analytics_ai_predictions_goalType; GET analytics_ai_recommendations; GET analytics_daterange; GET analytics_overview; POST analytics_refresh; GET analytics_strength; GET analytics_trends"
"500","../../components/responses/common/InternalServerError.yaml","auth, notifications, profiles, workouts","24","GET email-verification-status; POST login; POST logout; GET me; POST password-reset; POST refresh; POST resend-verification; POST reset-password; POST signup; POST update-password; GET validate-session; POST verify-email; GET notifications_preferences; POST notifications_preferences; POST notifications_test; GET preferences; PUT preferences; GET profile; POST profile; PUT profile; GET workouts; GET workouts_planId; POST workouts_planId; DELETE workouts_planId"
"500","../../components/responses/dataTransfer/DataTransferDatabaseFailed.yaml","dataTransfer","2","POST data-transfer_export; POST data-transfer_import"
"500","../../components/responses/goals/GoalDatabaseFailed.yaml","goals","6","GET goals; POST goals; GET goals_goalId; PUT goals_goalId; POST goals_goalId_predict; GET goals_goalId_progress"
"500","../../components/responses/healthSystem/HealthCheckFailed.yaml","healthSystem","2","GET health; GET v1_health"
"500","../../components/responses/healthSystem/DatabaseConnectionFailed.yaml","healthSystem","1","GET v1_health_supabase"
"500","../../components/responses/mobile/MobileDatabaseFailed.yaml","mobile","6","GET mobile_analytics; GET mobile_goals_goalId_progress; GET mobile_notifications_preferences; GET mobile_overview; GET mobile_peer-comparison; POST mobile_sync"
"500","../../components/responses/nutritionMacros/MacroDatabaseFailed.yaml","nutritionMacros","5","GET macros; POST macros; POST macros_calculate; GET macros_latest; PUT macros_planId"
"500","../../components/responses/nutritionMacros/NutritionDatabaseFailed.yaml","nutritionMacros","7","GET nutrition; POST nutrition_calculate; GET nutrition_meal-log; POST nutrition_meal-log; GET nutrition_preferences; POST nutrition_preferences; GET nutrition_userId"
"500","../../components/responses/progress/ProgressDatabaseFailed.yaml","progress","3","POST progress_check-in; GET progress_check-ins_checkInId; POST progress_metrics"
"500","../../components/responses/workoutLogs/WorkoutLogDatabaseFailed.yaml","workoutLogs","5","GET workouts_log; POST workouts_log; GET workouts_log_logId; PATCH workouts_log_logId; DELETE workouts_log_logId"
"500","../../components/responses/workouts/WorkoutGenerationFailed.yaml","workouts","1","POST workouts"
"502","../../components/responses/analytics/AIAnalyticsFailed.yaml","analytics","5","GET analytics_ai_comprehensive; GET analytics_ai_insights; GET analytics_ai_patterns; GET analytics_ai_predictions_goalType; GET analytics_ai_recommendations"
"502","../../components/responses/goals/GoalAIPredictionFailed.yaml","goals","1","POST goals_goalId_predict"
"503","../../components/responses/analytics/AnalyticsUnhealthy.yaml","analytics","1","GET analytics_health"
"503","../../components/responses/mobile/MobileAnalyticsServiceUnavailable.yaml","mobile","1","GET mobile_analytics"
"503","../../components/responses/mobile/MobileOptimizationServiceUnavailable.yaml","mobile","2","GET mobile_goals_goalId_progress; GET mobile_overview"
"503","../../components/responses/mobile/MobileNotificationServiceUnavailable.yaml","mobile","1","GET mobile_notifications_preferences"
"503","../../components/responses/mobile/MobileSocialServiceUnavailable.yaml","mobile","1","GET mobile_peer-comparison"
"503","../../components/responses/mobile/MobileSyncServiceUnavailable.yaml","mobile","1","POST mobile_sync"
"504","../../components/responses/analytics/AnalyticsProcessingTimeout.yaml","analytics","1","GET analytics_ai_comprehensive"
"504","../../components/responses/goals/GoalPredictionTimeout.yaml","goals","1","POST goals_goalId_predict"
"506","../../components/responses/mobile/MobileVersionNotSupported.yaml","mobile","1","GET mobile_analytics"
